Plik;N;Optimum;KosztZnaleziony;SredniaPop;Blad(%);CzasZnalezieniaRekordu(s)
br17.atsp;17;39;39;40.76;0;0.005738
ftv33.atsp;34;1286;1980;2002.37;53.9658;0.0391839
ftv38.atsp;39;1530;2366;2381.34;54.6405;0.0318294
p43.atsp;43;5620;5622;5680.09;0.0355872;1.31612
ry48p.atsp;48;14422;16656;16812.4;15.4902;0.116796
ftv55.atsp;56;1608;2723;2757.66;69.3408;0.0972374
ftv70.atsp;71;1950;3732;3757.45;91.3846;449.657
kro124p.atsp;100;36230;57939;58211.2;59.92;0.933813
rbg323.atsp;323;1326;3389;3465.51;155.581;22.2265
rbg403.atsp;403;2465;4550;4580.45;84.5842;632.545
ftv170.atsp;171;2755;10882;10952.6;294.991;18.6997
