Plik;StartType;PoczatkowyKoszt;KoncowyKoszt;Blad(%)
br17.atsp;Random;271;39;0
br17.atsp;RNN;56;39;0
ftv33.atsp;Random;4652;1345;4.58787
ftv33.atsp;RNN;1590;1286;0
ftv38.atsp;Random;5065;1551;1.37255
ftv38.atsp;RNN;1759;1556;1.69935
p43.atsp;Random;22918;5678;1.03203
p43.atsp;RNN;5684;5635;0.266904
ry48p.atsp;Random;52093;14422;0
ry48p.atsp;RNN;15575;14422;0
ftv55.atsp;Random;7306;1636;1.74129
ftv55.atsp;RNN;1948;1671;3.91791
ftv70.atsp;Random;10251;2082;6.76923
ftv70.atsp;RNN;2287;2011;3.12821
kro124p.atsp;Random;201932;38470;6.18272
kro124p.atsp;RNN;43316;37884;4.56528
rbg323.atsp;Random;6178;1553;17.1192
rbg323.atsp;RNN;1702;1473;11.086
rbg403.atsp;Random;7580;2596;5.3144
rbg403.atsp;RNN;3497;2494;1.17647
ftv170.atsp;Random;26290;4216;53.0309
ftv170.atsp;RNN;3582;3366;22.1779
