Plik;MetodaMutacji;KosztZnaleziony;Blad(%);CzasZnalezieniaRekordu(s)
br17.atsp;Swap;39;0;0.0017763
br17.atsp;Inwersja;39;0;0.0032763
ftv33.atsp;Swap;1535;19.3624;6.10685
ftv33.atsp;Inwersja;1718;33.5925;0.0224596
ftv38.atsp;Swap;2110;37.9085;46.0763
ftv38.atsp;Inwersja;2524;64.9673;0.0141929
p43.atsp;Swap;5694;1.31673;18.2286
p43.atsp;Inwersja;5623;0.0533808;14.024
ry48p.atsp;Swap;19029;31.9443;0.212372
ry48p.atsp;Inwersja;17151;18.9225;0.0913661
ftv55.atsp;Swap;2308;43.5323;25.1352
ftv55.atsp;Inwersja;3021;87.8731;0.433609
ftv70.atsp;Swap;2966;52.1026;32.318
ftv70.atsp;Inwersja;4274;119.179;56.1378
kro124p.atsp;Swap;63174;74.3693;0.967236
kro124p.atsp;Inwersja;52612;45.2167;1.06739
rbg323.atsp;Swap;1670;25.9427;57.5924
rbg323.atsp;Inwersja;3433;158.899;28.2406
rbg403.atsp;Swap;2707;9.81744;51.2583
rbg403.atsp;Inwersja;4686;90.1014;20.5264
ftv170.atsp;Swap;6248;126.788;45.8561
ftv170.atsp;Inwersja;10055;264.973;56.294
