Plik;MetodaKrzyzowania;KosztZnaleziony;Blad(%);CzasZnalezieniaRekordu(s)
br17.atsp;OX;39;0;0.0025974
br17.atsp;PMX;39;0;0.0027256
ftv33.atsp;OX;1677;30.4044;0.0293627
ftv33.atsp;PMX;2066;60.6532;0.649181
ftv38.atsp;OX;2349;53.5294;30.8323
ftv38.atsp;PMX;2168;41.6993;0.0284667
p43.atsp;OX;5622;0.0355872;28.5647
p43.atsp;PMX;5635;0.266904;6.79579
ry48p.atsp;OX;15665;8.61878;0.176557
ry48p.atsp;PMX;17935;24.3586;0.100271
ftv55.atsp;OX;3135;94.9627;46.2938
ftv55.atsp;PMX;3359;108.893;5.04049
ftv70.atsp;OX;4145;112.564;1.66838
ftv70.atsp;PMX;4317;121.385;13.6948
kro124p.atsp;OX;50768;40.127;0.498821
kro124p.atsp;PMX;52970;46.2048;15.8017
rbg323.atsp;OX;3557;168.25;18.6239
rbg323.atsp;PMX;3926;196.078;8.40251
rbg403.atsp;OX;4659;89.0061;48.3241
rbg403.atsp;PMX;5105;107.099;18.5289
ftv170.atsp;OX;10714;288.893;3.91122
ftv170.atsp;PMX;10887;295.172;2.13251
