Plik;Kadencja(Tenure);DlugoscListy(Size);ZnalezionyKoszt;Blad(%)
br17.atsp;2;5;39;0
br17.atsp;2;20;39;0
br17.atsp;2;100;39;0
br17.atsp;10;5;39;0
br17.atsp;10;20;39;0
br17.atsp;10;100;39;0
br17.atsp;25;5;39;0
br17.atsp;25;20;39;0
br17.atsp;25;100;39;0
br17.atsp;50;5;39;0
br17.atsp;50;20;39;0
br17.atsp;50;100;39;0
ftv33.atsp;2;5;1340;4.19907
ftv33.atsp;2;20;1340;4.19907
ftv33.atsp;2;100;1340;4.19907
ftv33.atsp;10;5;1340;4.19907
ftv33.atsp;10;20;1340;4.19907
ftv33.atsp;10;100;1347;4.74339
ftv33.atsp;25;5;1286;0
ftv33.atsp;25;20;1286;0
ftv33.atsp;25;100;1286;0
ftv33.atsp;50;5;1340;4.19907
ftv33.atsp;50;20;1286;0
ftv33.atsp;50;100;1286;0
ftv38.atsp;2;5;1569;2.54902
ftv38.atsp;2;20;1630;6.53595
ftv38.atsp;2;100;1630;6.53595
ftv38.atsp;10;5;1569;2.54902
ftv38.atsp;10;20;1552;1.43791
ftv38.atsp;10;100;1554;1.56863
ftv38.atsp;25;5;1569;2.54902
ftv38.atsp;25;20;1532;0.130719
ftv38.atsp;25;100;1532;0.130719
ftv38.atsp;50;5;1552;1.43791
ftv38.atsp;50;20;1532;0.130719
ftv38.atsp;50;100;1544;0.915033
p43.atsp;2;5;5637;0.302491
p43.atsp;2;20;5637;0.302491
p43.atsp;2;100;5637;0.302491
p43.atsp;10;5;5635;0.266904
p43.atsp;10;20;5635;0.266904
p43.atsp;10;100;5635;0.266904
p43.atsp;25;5;5637;0.302491
p43.atsp;25;20;5635;0.266904
p43.atsp;25;100;5635;0.266904
p43.atsp;50;5;5637;0.302491
p43.atsp;50;20;5635;0.266904
p43.atsp;50;100;5635;0.266904
ry48p.atsp;2;5;14592;1.17875
ry48p.atsp;2;20;15015;4.11177
ry48p.atsp;2;100;14799;2.61406
ry48p.atsp;10;5;14608;1.2897
ry48p.atsp;10;20;14507;0.589377
ry48p.atsp;10;100;14453;0.214949
ry48p.atsp;25;5;14592;1.17875
ry48p.atsp;25;20;14559;0.949938
ry48p.atsp;25;100;14511;0.617113
ry48p.atsp;50;5;14608;1.2897
ry48p.atsp;50;20;14552;0.901401
ry48p.atsp;50;100;14641;1.51851
ftv55.atsp;2;5;1704;5.97015
ftv55.atsp;2;20;1704;5.97015
ftv55.atsp;2;100;1704;5.97015
ftv55.atsp;10;5;1696;5.47264
ftv55.atsp;10;20;1704;5.97015
ftv55.atsp;10;100;1704;5.97015
ftv55.atsp;25;5;1704;5.97015
ftv55.atsp;25;20;1649;2.54975
ftv55.atsp;25;100;1630;1.36816
ftv55.atsp;50;5;1704;5.97015
ftv55.atsp;50;20;1665;3.54478
ftv55.atsp;50;100;1625;1.05721
ftv70.atsp;2;5;2080;6.66667
ftv70.atsp;2;20;2176;11.5897
ftv70.atsp;2;100;2108;8.10256
ftv70.atsp;10;5;2034;4.30769
ftv70.atsp;10;20;2064;5.84615
ftv70.atsp;10;100;2032;4.20513
ftv70.atsp;25;5;2046;4.92308
ftv70.atsp;25;20;2036;4.41026
ftv70.atsp;25;100;2012;3.17949
ftv70.atsp;50;5;2046;4.92308
ftv70.atsp;50;20;2071;6.20513
ftv70.atsp;50;100;2056;5.4359
kro124p.atsp;2;5;39239;8.30527
kro124p.atsp;2;20;39111;7.95197
kro124p.atsp;2;100;38816;7.13773
kro124p.atsp;10;5;38298;5.70798
kro124p.atsp;10;20;38346;5.84046
kro124p.atsp;10;100;38086;5.12283
kro124p.atsp;25;5;38811;7.12393
kro124p.atsp;25;20;37638;3.88628
kro124p.atsp;25;100;37672;3.98013
kro124p.atsp;50;5;38617;6.58846
kro124p.atsp;50;20;37556;3.65995
kro124p.atsp;50;100;38275;5.64449
rbg323.atsp;2;5;1464;10.4072
rbg323.atsp;2;20;1452;9.50226
rbg323.atsp;2;100;1424;7.39065
rbg323.atsp;10;5;1447;9.12519
rbg323.atsp;10;20;1454;9.65309
rbg323.atsp;10;100;1445;8.97436
rbg323.atsp;25;5;1454;9.65309
rbg323.atsp;25;20;1441;8.6727
rbg323.atsp;25;100;1455;9.72851
rbg323.atsp;50;5;1431;7.91855
rbg323.atsp;50;20;1433;8.06938
rbg323.atsp;50;100;1462;10.2564
rbg403.atsp;2;5;2499;1.37931
rbg403.atsp;2;20;2510;1.82556
rbg403.atsp;2;100;2506;1.66329
rbg403.atsp;10;5;2509;1.78499
rbg403.atsp;10;20;2493;1.1359
rbg403.atsp;10;100;2506;1.66329
rbg403.atsp;25;5;2504;1.58215
rbg403.atsp;25;20;2510;1.82556
rbg403.atsp;25;100;2511;1.86613
rbg403.atsp;50;5;2508;1.74442
rbg403.atsp;50;20;2499;1.37931
rbg403.atsp;50;100;2516;2.06897
ftv170.atsp;2;5;3369;22.2868
ftv170.atsp;2;20;3369;22.2868
ftv170.atsp;2;100;3366;22.1779
ftv170.atsp;10;5;3369;22.2868
ftv170.atsp;10;20;3371;22.3593
ftv170.atsp;10;100;3302;19.8548
ftv170.atsp;25;5;3396;23.2668
ftv170.atsp;25;20;3315;20.3267
ftv170.atsp;25;100;3219;16.8421
ftv170.atsp;50;5;3299;19.7459
ftv170.atsp;50;20;3266;18.5481
ftv170.atsp;50;100;3296;19.637
