Plik;MetodaSelekcji;KosztZnaleziony;Blad(%);CzasZnalezieniaRekordu(s)
br17.atsp;Turniej;39;0;0.004752
br17.atsp;Ruletka;39;0;0.0038643
ftv33.atsp;Turniej;1606;24.8834;0.0851625
ftv33.atsp;Ruletka;1394;8.39813;46.3074
ftv38.atsp;Turniej;2476;61.8301;0.0137709
ftv38.atsp;Ruletka;1586;3.66013;40.6468
p43.atsp;Turniej;5622;0.0355872;11.1331
p43.atsp;Ruletka;5635;0.266904;25.4139
ry48p.atsp;Turniej;17612;22.119;0.251948
ry48p.atsp;Ruletka;15343;6.38608;57.5127
ftv55.atsp;Turniej;3225;100.56;0.163729
ftv55.atsp;Ruletka;1820;13.1841;27.3685
ftv70.atsp;Turniej;4677;139.846;0.17974
ftv70.atsp;Ruletka;2350;20.5128;56.1121
kro124p.atsp;Turniej;55841;54.1292;1.4149
kro124p.atsp;Ruletka;43310;19.5418;56.3193
rbg323.atsp;Turniej;3727;181.071;34.4834
rbg323.atsp;Ruletka;3144;137.104;59.9626
rbg403.atsp;Turniej;4353;76.5923;28.2225
rbg403.atsp;Ruletka;4688;90.1826;59.8791
ftv170.atsp;Turniej;9990;262.613;4.39813
ftv170.atsp;Ruletka;8607;212.414;57.2492
